id,province_id,name_th,name_en
122,10,หนองแซง,Nong Saeng
123,10,บ้านหมอ,Ban Mo
124,10,ดอนพุด,Don Phut
125,10,หนองโดน,Nong Don
126,10,พระพุทธบาท,Phra Phutthabat
127,10,เสาไห้,Sao Hai
128,10,มวกเหล็ก,Muak Lek
129,10,วังม่วง,Wang Muang
130,10,เฉลิมพระเกียรติ,Chaloem Phra Kiat
131,11,เมืองชลบุรี,Mueang Chon Buri
132,11,บ้านบึง,Ban Bueng
133,11,หนองใหญ่,Nong Yai
134,11,บางละมุง,Bang Lamung
135,11,พานทอง,Phan Thong
136,11,พนัสนิคม,Phanat Nikhom
137,11,ศรีราชา,Si Racha
138,11,เกาะสีชัง,Ko Sichang
139,11,สัตหีบ,Sattahip
140,11,บ่อทอง,Bo Thong
141,11,เกาะจันทร์,Ko Chan
142,12,เมืองระยอง,Mueang Rayong
143,12,บ้านฉาง,Ban Chang
144,12,แกลง,Klaeng
145,12,วังจันทร์,Wang Chan
146,12,บ้านค่าย,Ban Khai
147,12,ปลวกแดง,Pluak Daeng
148,12,เขาชะเมา,Khao Chamao
149,12,นิคมพัฒนา,Nikhom Phatthana
150,13,เมืองจันทบุรี,Mueang Chanthaburi
151,13,ขลุง,Khlung
152,13,ท่าใหม่,Tha Mai
153,13,โป่งน้ำร้อน,Pong Nam Ron
154,13,มะขาม,Makham
155,13,แหลมสิงห์,Laem Sing
156,13,สอยดาว,Soi Dao
157,13,แก่งหางแมว,Kaeng Hang Maeo
158,13,นายายอาม,Na Yai Am
159,13,เขาคิชฌกูฏ,Khoa Khitchakut
160,14,เมืองตราด,Mueang Trat
161,14,คลองใหญ่,Khlong Yai
162,14,เขาสมิง,Khao Saming
163,14,บ่อไร่,Bo Rai
164,14,แหลมงอบ,Laem Ngop
165,14,เกาะกูด,Ko Kut
166,14,เกาะช้าง,Ko Chang
167,15,เมืองฉะเชิงเทรา,Mueang Chachoengsao
168,15,บางคล้า,Bang Khla
169,15,บางน้ำเปรี้ยว,Bang Nam Priao
170,15,บางปะกง,Bang Pakong
171,15,บ้านโพธิ์,Ban Pho
172,15,พนมสารคาม,Phanom Sarakham
173,15,ราชสาส์น,Ratchasan
174,15,สนามชัยเขต,Sanam Chai Khet
175,15,แปลงยาว,Plaeng Yao
176,15,ท่าตะเกียบ,Tha Takiap
177,15,คลองเขื่อน,Khlong Khuean
178,16,เมืองปราจีนบุรี,Mueang Prachin Buri
179,16,กบินทร์บุรี,Kabin Buri
180,16,นาดี,Na Di
181,16,บ้านสร้าง,Ban Sang
182,16,ประจันตคาม,Prachantakham
183,16,ศรีมหาโพธิ,Si Maha Phot
184,16,ศรีมโหสถ,Si Mahosot
185,17,เมืองนครนายก,Mueang Nakhon Nayok
186,17,ปากพลี,Pak Phli
187,17,บ้านนา,Ban Na
188,17,องครักษ์,Ongkharak
189,18,เมืองสระแก้ว,Mueang Sa Kaeo
190,18,คลองหาด,Khlong Hat
191,18,ตาพระยา,Ta Phraya
192,18,วังน้ำเย็น,Wang Nam Yen
193,18,วัฒนานคร,Watthana Nakhon
194,18,อรัญประเทศ,Aranyaprathet
195,18,เขาฉกรรจ์,Khao Chakan
196,18,โคกสูง,Khok Sung
197,18,วังสมบูรณ์,Wang Sombun
198,19,เมืองนครราชสีมา,Mueang Nakhon Ratchasima
199,19,ครบุรี,Khon Buri
200,19,เสิงสาง,Soeng Sang
201,19,คง,Khong
202,19,บ้านเหลื่อม,Ban Lueam
